15120000  0   176 24/06/2000
15206400  0   177 25/06/2000
15292800  0   178 26/06/2000
15379200  0   179 27/06/2000
15465600  0.4 180 28/06/2000
15552000  0   181 29/06/2000
15638400  0   182 30/06/2000
15724800  0   183 01/07/2000
15811200  0   184 02/07/2000
15897600  0   185 03/07/2000
15984000  0   186 04/07/2000
16070400  0   187 05/07/2000
16156800  0   188 06/07/2000
16243200  0   189 07/07/2000
16329600  0   190 08/07/2000
16416000  6.6 191 09/07/2000
16502400  0   192 10/07/2000
16588800  5.3 193 11/07/2000
16675200  0   194 12/07/2000
16761600  0.2 195 13/07/2000
16848000  0.3 196 14/07/2000
16934400  6.6 197 15/07/2000
17020800  0.2 198 16/07/2000
17107200  0   199 17/07/2000
17193600  0   200 18/07/2000
17280000  0   201 19/07/2000
17366400  1.2 202 20/07/2000
17452800  0   203 21/07/2000
17539200  0   204 22/07/2000
17625600  0   205 23/07/2000
17712000  1   206 24/07/2000
17798400  0   207 25/07/2000
17884800  0   208 26/07/2000
17971200  0   209 27/07/2000
18057600  5   210 28/07/2000
18144000  0.5 211 29/07/2000
18230400  0   212 30/07/2000
18316800  0   213 31/07/2000
18403200  0   214 01/08/2000
18489600  0   215 02/08/2000
18576000  0   216 03/08/2000
18662400  5.9 217 04/08/2000
18748800 16.3 218 05/08/2000
18835200  0.8 219 06/08/2000
18921600  0   220 07/08/2000
19008000  0   221 08/08/2000
19094400  1.7 222 09/08/2000
19180800  0   223 10/08/2000
19267200  0   224 11/08/2000
19353600  0   225 12/08/2000
19440000  0   226 13/08/2000
19526400  0   227 14/08/2000
19612800  0   228 15/08/2000
19699200  0   229 16/08/2000
19785600  0   230 17/08/2000
19872000  0   231 18/08/2000
19958400  0   232 19/08/2000
20044800  0   233 20/08/2000
20131200  0   234 21/08/2000
20217600  0   235 22/08/2000
20304000  0   236 23/08/2000
20390400  0   237 24/08/2000
20476800  0   238 25/08/2000
20563200  0   239 26/08/2000
20649600  0   240 27/08/2000
20736000  3   241 28/08/2000
20822400  0   242 29/08/2000
