2009-01-06::08:00:00  0.352000E-01
2009-01-06::09:00:00  0.472000E-01
2009-01-06::10:00:00  0.507000E-01
2009-01-06::11:00:00  0.446000E-01
2009-01-06::12:00:00  0.297000E-01
2009-01-06::13:00:00  0.960000E-02
2009-01-06::14:00:00 -0.118000E-01
2009-01-06::15:00:00 -0.303000E-01
2009-01-06::16:00:00 -0.429000E-01
2009-01-06::17:00:00 -0.480000E-01
2009-01-06::18:00:00 -0.453000E-01
2009-01-06::19:00:00 -0.361000E-01
2009-01-06::20:00:00 -0.225000E-01
2009-01-06::21:00:00 -0.740000E-02
2009-01-06::22:00:00  0.650000E-02
2009-01-06::23:00:00  0.164000E-01
2009-01-07::00:00:00  0.211000E-01
2009-01-07::01:00:00  0.214000E-01
2009-01-07::02:00:00  0.196000E-01
2009-01-07::03:00:00  0.195000E-01
2009-01-07::04:00:00  0.238000E-01
2009-01-07::05:00:00  0.336000E-01
2009-01-07::06:00:00  0.480000E-01
2009-01-07::07:00:00  0.645000E-01
2009-01-07::08:00:00  0.801000E-01
2009-01-07::09:00:00  0.919000E-01
2009-01-07::10:00:00  0.974000E-01
2009-01-07::11:00:00  0.942000E-01
2009-01-07::12:00:00  0.804000E-01
2009-01-07::13:00:00  0.564000E-01
2009-01-07::14:00:00  0.252000E-01
2009-01-07::15:00:00 -0.710000E-02
2009-01-07::16:00:00 -0.345000E-01
2009-01-07::17:00:00 -0.528000E-01
2009-01-07::18:00:00 -0.604000E-01
2009-01-07::19:00:00 -0.587000E-01
2009-01-07::20:00:00 -0.498000E-01
2009-01-07::21:00:00 -0.361000E-01
2009-01-07::22:00:00 -0.195000E-01
2009-01-07::23:00:00 -0.290000E-02
2009-01-08::00:00:00  0.100000E-01
2009-01-08::01:00:00  0.162000E-01
2009-01-08::02:00:00  0.159000E-01
2009-01-08::03:00:00  0.124000E-01
2009-01-08::04:00:00  0.110000E-01
2009-01-08::05:00:00  0.155000E-01
2009-01-08::06:00:00  0.269000E-01
2009-01-08::07:00:00  0.424000E-01
2009-01-08::08:00:00  0.585000E-01
2009-01-08::09:00:00  0.723000E-01
2009-01-08::10:00:00  0.818000E-01
2009-01-08::11:00:00  0.850000E-01
2009-01-08::12:00:00  0.792000E-01
2009-01-08::13:00:00  0.614000E-01
2009-01-08::14:00:00  0.315000E-01
2009-01-08::15:00:00 -0.590000E-02
2009-01-08::16:00:00 -0.429000E-01
2009-01-08::17:00:00 -0.717000E-01
2009-01-08::18:00:00 -0.877000E-01
2009-01-08::19:00:00 -0.913000E-01
2009-01-08::20:00:00 -0.850000E-01
2009-01-08::21:00:00 -0.715000E-01
2009-01-08::22:00:00 -0.524000E-01
2009-01-08::23:00:00 -0.292000E-01
2009-01-09::00:00:00 -0.590000E-02
2009-01-09::01:00:00  0.123000E-01
2009-01-09::02:00:00  0.214000E-01
2009-01-09::03:00:00  0.217000E-01
2009-01-09::04:00:00  0.187000E-01
2009-01-09::05:00:00  0.191000E-01
2009-01-09::06:00:00  0.271000E-01
2009-01-09::07:00:00  0.417000E-01
2009-01-09::08:00:00  0.588000E-01
2009-01-09::09:00:00  0.743000E-01
2009-01-09::10:00:00  0.861000E-01
2009-01-09::11:00:00  0.932000E-01
2009-01-09::12:00:00  0.937000E-01
2009-01-09::13:00:00  0.834000E-01
2009-01-09::14:00:00  0.588000E-01
2009-01-09::15:00:00  0.202000E-01
2009-01-09::16:00:00 -0.255000E-01
2009-01-09::17:00:00 -0.679000E-01
2009-01-09::18:00:00 -0.984000E-01
2009-01-09::19:00:00 -0.114100    
2009-01-09::20:00:00 -0.117100    
2009-01-09::21:00:00 -0.110800    
2009-01-09::22:00:00 -0.975000E-01
